Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,attempt_number,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime,ExperimentStatus
1,GZIP,testdb_testdb,ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3_ORDERS10COPY4_ORDERS10COPY5_ORDERS10COPY6_ORDERS10COPY7_ORDERS10COPY8_ORDERS10COPY9,5,False,1,1738766696.7025876,3527.4680075645447,3393.8372041702273,0.0,4.7962117195129395,True
2,GZIP,testdb_testdb,ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3_ORDERS10COPY4_ORDERS10COPY5_ORDERS10COPY6_ORDERS10COPY7_ORDERS10COPY8_ORDERS10COPY9,5,False,1,1738766696.7025876,3662.8050265312195,3549.2334359645847,0.0,4.999055862426758,True
3,GZIP,testdb_testdb,ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3_ORDERS10COPY4_ORDERS10COPY5_ORDERS10COPY6_ORDERS10COPY7_ORDERS10COPY8_ORDERS10COPY9,5,False,1,1738766696.7025876,3267.899573326111,2774.403699731827,0.0,2.9855237007141113,False
