Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime
1,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718429219.6701837,1411.74773645401,1364.8904302120209,43.861143,0.9344282150268555
2,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718429219.6701837,1749.2117810249329,1105.7975358963013,79.65384900000001,588.3647866249084
3,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718429219.6701837,1737.0803389549255,1101.3122975826263,88.14038,588.4715511798859
1,LZ4,testdb_testdb,GIGANTICORDERS,10,False,1718434147.7107012,9256.350244998932,8756.564160346985,58.990437,452.9815435409546
2,LZ4,testdb_testdb,GIGANTICORDERS,10,False,1718434147.7107012,7263.527567148209,6770.4395406246185,62.19498300000001,443.7050588130951
3,LZ4,testdb_testdb,GIGANTICORDERS,10,False,1718434147.7107012,5310.860838651657,4749.2048144340515,52.40670299999999,536.8413593769073
1,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718456008.4502633,12174.59925532341,11368.543547153473,51.844418000000005,754.2137110233307
2,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718456008.4502633,4146.693719148636,3848.5826728343964,32.071415,284.51738572120667
3,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718456008.4502633,6338.794447422028,6245.173769712448,47.981263,74.14818406105042
1,LZ4,testdb_testdb,ORDERSWIDE2,10,False,1718478698.538361,0,0,0,936.535144329071
