Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime
1,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726052838.3498347,3562.606977701187,3469.103039264679,149.706899,3.697042942047119
2,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726052838.3498347,2935.848831653595,2833.8046362400055,131.20046100000002,6.901137828826904
3,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726052838.3498347,4941.683689832687,4828.098856449127,124.68307300000001,38.86805486679077
4,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726052838.3498347,4368.404237747192,4104.59628868103,118.70888300000001,181.86582016944885
5,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726052838.3498347,4475.158424139023,4217.996929883957,112.421804,170.09076595306396
1,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726076122.05382,4004.5883753299713,3762.100503921509,101.279736,146.80475091934204
2,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726076122.05382,6915.274257898331,6667.302102565765,110.307491,162.11521577835083
3,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726076122.05382,5040.6317682266235,4176.408620119095,126.894402,782.5986621379852
4,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726076122.05382,5856.271413564682,5771.507753610611,145.701309,1.4650251865386963
5,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726076122.05382,6036.673623323441,5877.102426767349,106.266503,75.77657151222229
1,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726117851.171379,3416.972592115402,3240.6954004764557,123.41629499999999,95.96677923202515
2,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726117851.171379,4838.68097949028,4310.803837299347,125.907614,438.6714754104614
3,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726117851.171379,4474.132378816605,4343.502359628677,146.376543,46.99041771888733
4,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726117851.171379,4515.218613147736,4202.1058757305145,104.68987,229.24866890907288
5,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726117851.171379,3953.012382745743,3853.695047855377,127.100707,7.701080322265625
