Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,attempt_number,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime,ExperimentStatus
1,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3,5,False,1,1739178732.0022943,9073.972318649292,7588.765296840668,0.0,6.307064771652222,True
2,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3,5,False,1,1739178732.0022943,6.361896991729736,0,0,2.384185791015625e-07,False
2,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3,5,False,2,1739178732.0022943,9514.191952228546,7125.1822286129,0.0,4.8858420848846436,False
2,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3,5,False,3,1739178732.0022943,10758.462235689163,8816.189535307885,0.0,4.5045576095581055,True
