Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,2078.4460365772247,1316.606167793274,254.308353,2.9998655319213867
2,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,1804.069989681244,1047.599877357483,307.91650799999996,5.783820390701294
3,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,1799.6901319026947,0,0,56.28067326545715
4,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,1386.6545207500458,1168.3019812107086,276.305505,46.94066882133484
5,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,927.9055314064026,0,246.07680799999997,68.022536277771
6,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,2442.1847534179688,1680.7012119293213,297.409373,2.3592278957366943
7,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725075509.7304351,1301.701982975006,1097.1991584300995,330.917276,34.04533410072327
1,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725087320.3866293,2906.590191602707,2689.7059288024902,328.31215,59.99644207954407
2,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725087320.3866293,2820.1395165920258,2432.704535484314,302.293489,235.8486168384552
3,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725087320.3866293,3909.006256341934,3014.900997400284,282.70319,131.0746989250183
4,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725087320.3866293,3083.2507009506226,2801.3034946918488,278.206923,110.83553314208984
5,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725087320.3866293,2764.3897001743317,2414.0032074451447,288.004001,185.84972858428955
6,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725087320.3866293,3194.3300688266754,2348.1973311901093,325.199856,94.41945004463196
7,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725087320.3866293,961.880654335022,0,281.105232,112.50112104415894
1,GZIP,testdb_testdb,ORDERSWIDE2,5,True,1725107029.9767177,3185.9192917346954,2424.101516008377,282.521609,3.646482229232788
