Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,attempt_number,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime,ExperimentStatus
1,GZIP,testdb_testdb,dummy,5,False,1,1733972430.3796103,136.95017671585083,0,0,19.14837074279785,False
1,GZIP,testdb_testdb,dummy,5,False,2,1733972430.3796103,3910.1278867721558,3864.4590463638306,0,6.420141220092773,True
1,GZIP,testdb_testdb,ORDERSWIDE2,5,False,1,1733972430.3796103,13325.84907579422,13279.25532746315,0,13.466373682022095,True
2,GZIP,testdb_testdb,ORDERSWIDE2,5,False,1,1733972430.3796103,13145.963463068008,13098.641572713852,0,16.03133797645569,True
3,GZIP,testdb_testdb,ORDERSWIDE2,5,False,1,1733972430.3796103,72.38153028488159,0,0,16.28178572654724,False
3,GZIP,testdb_testdb,ORDERSWIDE2,5,False,2,1733972430.3796103,0,0,0,2.9582571983337402,0
