Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1717772809.1062791,606.5688910484314,570.1276996135712,4.187453,6.681401491165161
2,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1717772809.1062791,431.3335659503937,283.34324884414673,5.311084999999999,118.53910684585571
3,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1717772809.1062791,395.0756356716156,326.65065574645996,3.5074620000000003,35.681097745895386
4,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1717772809.1062791,418.4754922389984,313.6212203502655,5.058132,78.29697275161743
5,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1717772809.1062791,483.275230884552,383.5468852519989,3.576233,62.959901094436646
1,GZIP,testdb_testdb,GIGANTICORDERS,5,False,1717775193.8365662,2415.525242090225,2278.6130363941193,9.88954,101.85722398757935
2,GZIP,testdb_testdb,GIGANTICORDERS,5,False,1717775193.8365662,1567.957150220871,935.5276784896851,3.4041109999999994,595.4087197780609
3,GZIP,testdb_testdb,GIGANTICORDERS,5,False,1717775193.8365662,1364.2617135047913,860.1231215000153,3.221152,465.0121898651123
4,GZIP,testdb_testdb,GIGANTICORDERS,5,False,1717775193.8365662,1376.3157451152802,935.061292886734,3.4234780000000002,414.5674817562103
5,GZIP,testdb_testdb,GIGANTICORDERS,5,False,1717775193.8365662,1519.8566699028015,892.2788054943085,4.636184,585.8391382694244
1,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1717783487.755193,4645.5725038051605,4157.25089764595,10.774414000000002,457.1132802963257
2,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1717783487.755193,7435.33749127388,6863.437561273575,4.15175,543.555171251297
3,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1717783487.755193,8037.341141462326,7124.410113096237,4.493848,884.741934299469
4,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1717783487.755193,6886.167662620544,6186.953051567078,4.156235000000001,651.9494783878326
5,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1717783487.755193,6626.989967346191,6280.251171350479,16.562614,326.09963274002075
1,GZIP,testdb_testdb,ORDERSWIDE2,5,False,1717817169.1651847,1662.9899656772614,1390.6659653186798,6.614382,222.49869441986084
2,GZIP,testdb_testdb,ORDERSWIDE2,5,False,1717817169.1651847,922.6957471370697,514.5836181640625,3.5540450000000003,386.48671293258667
3,GZIP,testdb_testdb,ORDERSWIDE2,5,False,1717817169.1651847,723.9953668117523,451.16712069511414,2.757916,253.695880651474
4,GZIP,testdb_testdb,ORDERSWIDE2,5,False,1717817169.1651847,772.3346948623657,466.5268943309784,3.8599839999999994,285.2179741859436
5,GZIP,testdb_testdb,ORDERSWIDE2,5,False,1717817169.1651847,881.8878047466278,495.7262935638428,2.961443,333.49209809303284
1,GZIP,testdb_testdb,GIGANTICORDERS_ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8_ORDERSWIDE2,5,False,1717822183.0704057,18736.53876709938,18224.67035627365,10.180186,481.5350615978241
2,GZIP,testdb_testdb,GIGANTICORDERS_ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8_ORDERSWIDE2,5,False,1717822183.0704057,17110.371654987335,16992.685153722763,2.869871,101.33601665496826
3,GZIP,testdb_testdb,GIGANTICORDERS_ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8_ORDERSWIDE2,5,False,1717822183.0704057,9314.994903802872,9119.490673780441,3.050308,173.46828627586365
4,GZIP,testdb_testdb,GIGANTICORDERS_ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8_ORDERSWIDE2,5,False,1717822183.0704057,6785.961476802826,6545.5499885082245,4.035688,216.64688444137573
5,GZIP,testdb_testdb,GIGANTICORDERS_ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8_ORDERSWIDE2,5,False,1717822183.0704057,10136.152357816696,10008.485544204712,3.076212,106.96390008926392
1,GZIP,testdb_testdb,GIGANTICORDERS_ORDERSWIDE2,5,False,1717884317.090659,3051.321588039398,2646.3592762947083,3.6800890000000006,380.32673716545105
2,GZIP,testdb_testdb,GIGANTICORDERS_ORDERSWIDE2,5,False,1717884317.090659,3544.917935371399,3196.1912019252777,2.43568,332.0799481868744
3,GZIP,testdb_testdb,GIGANTICORDERS_ORDERSWIDE2,5,False,1717884317.090659,3228.1858966350555,2897.460531234741,4.742586,311.158331155777
4,GZIP,testdb_testdb,GIGANTICORDERS_ORDERSWIDE2,5,False,1717884317.090659,2766.229637145996,2445.2480573654175,3.088867,305.1005742549896
5,GZIP,testdb_testdb,GIGANTICORDERS_ORDERSWIDE2,5,False,1717884317.090659,3586.5619015693665,3198.247018814087,2.998176,369.0437934398651
