Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime
1,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718485326.892697,954.1146123409271,907.829580783844,73.207657,2.814177989959717
2,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718485326.892697,1189.4054486751556,957.9112062454224,65.280742,172.18334341049194
3,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718485326.892697,1101.6388266086578,846.4108273983002,66.98128,201.61253547668457
4,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718485326.892697,1271.9198441505432,1012.7650878429413,112.96801599999999,221.2623279094696
5,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718485326.892697,1161.7037291526794,846.286780834198,75.76662200000001,263.3586630821228
6,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718485326.892697,1013.6764335632324,789.8070154190063,74.974219,172.1511070728302
1,LZ4,testdb_testdb,GIGANTICORDERS,10,False,1718492079.3528268,5300.07985329628,5091.309530496597,81.28519399999999,149.02698826789856
2,LZ4,testdb_testdb,GIGANTICORDERS,10,False,1718492079.3528268,6905.849851131439,6603.68314909935,98.742155,264.6152377128601
3,LZ4,testdb_testdb,GIGANTICORDERS,10,False,1718492079.3528268,7648.37392783165,7089.62593126297,63.358033000000006,505.8540232181549
4,LZ4,testdb_testdb,GIGANTICORDERS,10,False,1718492079.3528268,9154.672578334808,8964.998335123062,41.805992,165.9552447795868
5,LZ4,testdb_testdb,GIGANTICORDERS,10,False,1718492079.3528268,2904.87784743309,2429.852777004242,46.254691,421.0621380805969
6,LZ4,testdb_testdb,GIGANTICORDERS,10,False,1718492079.3528268,2809.102236032486,2152.5731201171875,57.793695,613.2462179660797
1,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718526862.3103468,675.5558712482452,0,108.377692,548.7843136787415
2,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718526862.3103468,11024.814620018005,10979.497609376907,202.782625,1.2954673767089844
3,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718526862.3103468,10664.507001161575,10473.053269386292,69.445479,139.00945329666138
4,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718526862.3103468,10080.677426338196,9712.861469268799,41.364694,321.3061616420746
5,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718526862.3103468,12227.726269483566,11535.668792963028,152.097778,639.4237368106842
6,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718526862.3103468,11952.204640388489,11331.86206150055,70.14086900000001,570.5661063194275
1,LZ4,testdb_testdb,ORDERSWIDE2,10,False,1718583547.7974794,2931.8205902576447,2800.0294704437256,65.96322699999999,98.13884472846985
2,LZ4,testdb_testdb,ORDERSWIDE2,10,False,1718583547.7974794,2750.0378124713898,2293.945251941681,76.530935,413.4686872959137
3,LZ4,testdb_testdb,ORDERSWIDE2,10,False,1718583547.7974794,2508.7994771003723,1930.5763504505157,70.566428,528.6547403335571
4,LZ4,testdb_testdb,ORDERSWIDE2,10,False,1718583547.7974794,2118.975373983383,1628.2225813865662,55.978722,426.5431396961212
5,LZ4,testdb_testdb,ORDERSWIDE2,10,False,1718583547.7974794,2468.757185935974,1752.0815243721008,71.69349199999999,650.5825185775757
6,LZ4,testdb_testdb,ORDERSWIDE2,10,False,1718583547.7974794,2256.506739616394,1559.1000998020172,57.83158,635.5932250022888
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718598642.6959028,2005.660953760147,1313.616705417633,62.911254,641.926754951477
2,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718598642.6959028,1049.9864919185638,728.6027638912201,78.630302,244.9861717224121
3,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718598642.6959028,1201.2032783031464,1030.4740028381348,81.852158,104.45849967002869
4,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718598642.6959028,1324.5718228816986,1050.5937428474426,79.249644,228.6566333770752
5,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718598642.6959028,1337.241094827652,1076.1442942619324,70.920013,201.5192186832428
6,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718598642.6959028,1403.239666223526,1061.4334564208984,102.180523,270.6635842323303
1,GZIP,testdb_testdb,GIGANTICORDERS,10,False,1718607024.6003761,430.99952602386475,0,85.683061,268.4017903804779
2,GZIP,testdb_testdb,GIGANTICORDERS,10,False,1718607024.6003761,3882.272467851639,3842.0171666145325,230.152183,0.23163104057312012
3,GZIP,testdb_testdb,GIGANTICORDERS,10,False,1718607024.6003761,3542.216364622116,2808.132184743881,68.977756,674.8122432231903
4,GZIP,testdb_testdb,GIGANTICORDERS,10,False,1718607024.6003761,3627.012923717499,3075.2706480026245,87.318412,499.5205535888672
5,GZIP,testdb_testdb,GIGANTICORDERS,10,False,1718607024.6003761,815.5007071495056,0,100.031237,639.5179183483124
6,GZIP,testdb_testdb,GIGANTICORDERS,10,False,1718607024.6003761,2770.9769825935364,2685.4428012371063,92.979163,0.8258364200592041
1,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718622153.5805662,14555.837079524994,13955.196504116058,89.19929400000001,529.3374762535095
2,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718622153.5805662,8608.376109600067,8117.000000715256,48.311757,467.6240930557251
3,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718622153.5805662,6056.706651926041,5743.540573120117,73.61716799999999,282.0991666316986
4,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718622153.5805662,12461.637137174606,11782.479078769684,47.696180999999996,636.0875210762024
5,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718622153.5805662,16444.87093281746,14967.638537883759,193.824633,1412.8912768363953
6,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718622153.5805662,8486.537293434143,8258.672862291336,97.530286,153.02991557121277
1,GZIP,testdb_testdb,ORDERSWIDE2,10,False,1718688827.5471427,4339.847468137741,3708.0373315811157,73.864326,560.1624188423157
2,GZIP,testdb_testdb,ORDERSWIDE2,10,False,1718688827.5471427,4603.030086755753,3610.0153493881226,31.825458,906.2901906967163
3,GZIP,testdb_testdb,ORDERSWIDE2,10,False,1718688827.5471427,4121.977934122086,3534.8577852249146,143.630842,515.9276039600372
4,GZIP,testdb_testdb,ORDERSWIDE2,10,False,1718688827.5471427,4134.161779880524,3159.9575893878937,107.73862199999999,904.3759717941284
5,GZIP,testdb_testdb,ORDERSWIDE2,10,False,1718688827.5471427,883.6963937282562,0,96.50790799999999,720.3210957050323
6,GZIP,testdb_testdb,ORDERSWIDE2,10,False,1718688827.5471427,169.07673048973083,0,236.785933,0.48798251152038574
1,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718707139.3390338,1576.878408908844,1493.2003645896912,212.05256200000002,2.6418464183807373
2,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718707139.3390338,1662.8866398334503,1267.3094794750214,133.36065000000002,329.14163517951965
3,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718707139.3390338,1647.9310383796692,1260.7782442569733,88.18536,305.97573351860046
4,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718707139.3390338,1509.1202318668365,1179.3887968063354,79.86067700000001,282.16598534584045
5,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718707139.3390338,461.0248484611511,0,89.786796,324.9466485977173
6,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,10,False,1718707139.3390338,1358.5025329589844,1324.0413026809692,319.106132,1.7102165222167969
1,NO,testdb_testdb,GIGANTICORDERS,10,False,1718715415.683957,4120.686475992203,3775.392163515091,66.424097,289.4159195423126
2,NO,testdb_testdb,GIGANTICORDERS,10,False,1718715415.683957,3883.029798746109,3270.7861931324005,75.955208,569.0719177722931
3,NO,testdb_testdb,GIGANTICORDERS,10,False,1718715415.683957,4586.956635475159,3882.6463701725006,70.571366,658.8135142326355
4,NO,testdb_testdb,GIGANTICORDERS,10,False,1718715415.683957,3842.9954662323,3112.058495759964,74.014989,675.6954052448273
5,NO,testdb_testdb,GIGANTICORDERS,10,False,1718715415.683957,1124.0178799629211,0,86.85433,978.8445434570312
6,NO,testdb_testdb,GIGANTICORDERS,10,False,1718715415.683957,168.5606017112732,0,228.429315,4.130543947219849
1,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718733201.9321735,12829.25293636322,12739.848563671112,57.201865999999995,1.1517324447631836
2,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718733201.9321735,2056.7568850517273,0,87.74392,1878.0013711452484
3,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718733201.9321735,9940.118191242218,9852.263858795166,44.109596,8.150739192962646
4,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718733201.9321735,15672.440308332443,15472.191361665726,70.023946,140.54212284088135
5,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718733201.9321735,13915.592950344086,12063.464768648148,92.341984,1786.398910522461
6,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,10,False,1718733201.9321735,13154.602494955063,11903.268627166748,79.797196,1192.0291135311127
1,NO,testdb_testdb,ORDERSWIDE2,10,False,1718800830.6973686,1314.568547964096,0,112.408804,1151.370882987976
2,NO,testdb_testdb,ORDERSWIDE2,10,False,1718800830.6973686,3871.665231704712,3793.5777730941772,96.727558,1.363034963607788
3,NO,testdb_testdb,ORDERSWIDE2,10,False,1718800830.6973686,3214.8041591644287,2568.9071729183197,141.911403,591.3958735466003
4,NO,testdb_testdb,ORDERSWIDE2,10,False,1718800830.6973686,1797.8888244628906,1420.5623478889465,43.427260000000004,352.0190267562866
5,NO,testdb_testdb,ORDERSWIDE2,10,False,1718800830.6973686,1043.6586010456085,784.4296314716339,36.578822,230.95890188217163
