Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime
1,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725900374.0098464,1429.2395057678223,674.9984829425812,203.700408,1.702873706817627
2,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725900374.0098464,1307.2363078594208,562.1006829738617,228.31231900000003,2.60892653465271
3,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725900374.0098464,1286.3477337360382,554.8996260166168,222.00726299999997,3.332371234893799
4,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725900374.0098464,628.5780560970306,487.3019235134125,196.698237,3.1993653774261475
5,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725900374.0098464,1700.2292301654816,936.7976169586182,209.30800700000003,3.494467258453369
1,GZIP,testdb_testdb,ORDERSWIDE2,5,True,1725909725.642808,1453.9614067077637,711.8998475074768,215.604658,3.7239840030670166
2,GZIP,testdb_testdb,ORDERSWIDE2,5,True,1725909725.642808,1064.1348922252655,332.9984972476959,246.597376,4.32393217086792
3,GZIP,testdb_testdb,ORDERSWIDE2,5,True,1725909725.642808,1168.747867822647,447.3038363456726,191.00094600000003,4.391283988952637
4,GZIP,testdb_testdb,ORDERSWIDE2,5,True,1725909725.642808,1103.2545688152313,360.4025959968567,193.711376,3.4038472175598145
5,GZIP,testdb_testdb,ORDERSWIDE2,5,True,1725909725.642808,1090.8663339614868,342.3995122909546,178.70539599999998,4.199413299560547
1,LZ4,testdb_testdb,GIGANTICORDERS,5,True,1725918606.6097941,1359.481731414795,628.3994655609131,184.00403599999999,2.912871837615967
2,LZ4,testdb_testdb,GIGANTICORDERS,5,True,1725918606.6097941,1299.4146463871002,578.5022120475769,210.40133500000002,2.704634428024292
3,LZ4,testdb_testdb,GIGANTICORDERS,5,True,1725918606.6097941,1329.2190160751343,588.1971626281738,206.21416899999997,3.213052988052368
4,LZ4,testdb_testdb,GIGANTICORDERS,5,True,1725918606.6097941,1378.1512212753296,642.6982204914093,248.499097,4.699379205703735
5,LZ4,testdb_testdb,GIGANTICORDERS,5,True,1725918606.6097941,1370.8305661678314,605.1002221107483,173.60476000000003,3.702932119369507
1,LZ4,testdb_testdb,ORDERSWIDE2,5,True,1725941984.1406493,1467.0159356594086,728.7958161830902,178.912652,2.764484405517578
2,LZ4,testdb_testdb,ORDERSWIDE2,5,True,1725941984.1406493,1150.4064764976501,381.89995884895325,285.002476,5.3239452838897705
3,LZ4,testdb_testdb,ORDERSWIDE2,5,True,1725941984.1406493,1515.8396487236023,755.1034369468689,217.19515700000002,4.589606046676636
4,LZ4,testdb_testdb,ORDERSWIDE2,5,True,1725941984.1406493,1155.6877253055573,382.5026276111603,245.88941499999996,3.3279073238372803
5,LZ4,testdb_testdb,ORDERSWIDE2,5,True,1725941984.1406493,1131.6792492866516,372.9996063709259,271.199581,5.957557916641235
1,NO,testdb_testdb,GIGANTICORDERS,5,True,1725951404.7710242,1961.7851564884186,1228.5985233783722,266.88751399999995,4.6135573387146
2,NO,testdb_testdb,GIGANTICORDERS,5,True,1725951404.7710242,1805.7518939971924,1059.6982760429382,243.191396,3.2572007179260254
3,NO,testdb_testdb,GIGANTICORDERS,5,True,1725951404.7710242,1806.7136161327362,1061.7967357635498,297.204693,2.4332776069641113
4,NO,testdb_testdb,GIGANTICORDERS,5,True,1725951404.7710242,2055.670311689377,1296.198212146759,273.807202,3.000823736190796
5,NO,testdb_testdb,GIGANTICORDERS,5,True,1725951404.7710242,1883.5428833961487,1129.203067779541,236.20158,3.29059100151062
1,NO,testdb_testdb,ORDERSWIDE2,5,True,1725963918.2365751,1753.118293762207,1598.7002370357513,302.20072700000003,2.266955614089966
2,NO,testdb_testdb,ORDERSWIDE2,5,True,1725963918.2365751,1772.3162968158722,1014.2007741928101,250.088102,2.6171720027923584
3,NO,testdb_testdb,ORDERSWIDE2,5,True,1725963918.2365751,1725.9365322589874,975.8023028373718,300.81565,2.741983413696289
4,NO,testdb_testdb,ORDERSWIDE2,5,True,1725963918.2365751,1764.3408279418945,1004.002635717392,217.18747100000002,3.288759469985962
5,NO,testdb_testdb,ORDERSWIDE2,5,True,1725963918.2365751,1866.0179104804993,1096.997810602188,226.99275799999998,3.99896240234375
