Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime
1,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1719343434.4512384,152.9163522720337,0,108.540402,5.903827905654907
2,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1719343434.4512384,1251.0341618061066,1187.6545600891113,193.978839,0.8227596282958984
3,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1719343434.4512384,1327.0411610603333,973.5768237113953,69.06379,299.8808991909027
4,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1719343434.4512384,1389.2353093624115,1123.937331199646,80.333505,199.8934304714203
5,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1719343434.4512384,1131.2420234680176,921.2273478507996,53.326634000000006,166.1766951084137
6,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1719343434.4512384,1194.5973484516144,969.918957233429,55.104603999999995,172.98182797431946
7,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1719343434.4512384,1487.210618019104,1227.7847137451172,78.543899,201.63949990272522
1,NO,testdb_testdb,GIGANTICORDERS,5,False,1719351437.7297428,3665.259746313095,3369.9155011177063,84.79863900000001,238.69872903823853
2,NO,testdb_testdb,GIGANTICORDERS,5,False,1719351437.7297428,3071.52836561203,2397.9466903209686,58.313807,646.202018737793
3,NO,testdb_testdb,GIGANTICORDERS,5,False,1719351437.7297428,3715.594332933426,2998.510624885559,49.840973999999996,614.8167984485626
4,NO,testdb_testdb,GIGANTICORDERS,5,False,1719351437.7297428,2383.5205974578857,1559.8404469490051,145.140327,767.9764530658722
5,NO,testdb_testdb,GIGANTICORDERS,5,False,1719351437.7297428,1506.5143208503723,1059.870629787445,47.126428999999995,406.8695275783539
6,NO,testdb_testdb,GIGANTICORDERS,5,False,1719351437.7297428,1173.1488575935364,981.1422212123871,39.214394999999996,165.51163578033447
7,NO,testdb_testdb,GIGANTICORDERS,5,False,1719351437.7297428,1356.0385344028473,1020.9266309738159,44.633934999999994,309.1757650375366
1,NO,testdb_testdb,ORDERSWIDE2,5,False,1719368379.3359563,1461.3147277832031,1061.4048519134521,35.087618,370.47800397872925
2,NO,testdb_testdb,ORDERSWIDE2,5,False,1719368379.3359563,590.0376718044281,569.5548419952393,35.852941,3.953162670135498
3,NO,testdb_testdb,ORDERSWIDE2,5,False,1719368379.3359563,587.753326177597,563.7259368896484,53.784407,2.670337200164795
4,NO,testdb_testdb,ORDERSWIDE2,5,False,1719368379.3359563,927.0814442634583,907.8802952766418,36.02761100000001,2.575286626815796
5,NO,testdb_testdb,ORDERSWIDE2,5,False,1719368379.3359563,690.8112533092499,550.6289007663727,35.914018,119.53497004508972
6,NO,testdb_testdb,ORDERSWIDE2,5,False,1719368379.3359563,542.6640622615814,523.224116563797,35.282297,2.688194990158081
7,NO,testdb_testdb,ORDERSWIDE2,5,False,1719368379.3359563,546.0155870914459,525.5260093212128,31.394398,4.31765079498291
