Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,attempt_number,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime,ExperimentStatus
1,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_LINEITEM1COPY6_LINEITEM1COPY7_LINEITEM1COPY8_LINEITEM1COPY9,5,False,1,1738890524.0102563,9672.338292837143,9560.054636836052,0.0,5.0504982471466064,True
2,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_LINEITEM1COPY6_LINEITEM1COPY7_LINEITEM1COPY8_LINEITEM1COPY9,5,False,1,1738890524.0102563,7864.1460201740265,6998.223121142388,0.0,4.077590703964233,False
2,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_LINEITEM1COPY6_LINEITEM1COPY7_LINEITEM1COPY8_LINEITEM1COPY9,5,False,2,1738890524.0102563,4005.6471195220947,3979.011562506358,0.0,7.3160576820373535,False
2,GZIP,testdb_testdb,LINEITEM1_LINEITEM1COPY1_LINEITEM1COPY2_LINEITEM1COPY3_LINEITEM1COPY4_LINEITEM1COPY5_LINEITEM1COPY6_LINEITEM1COPY7_LINEITEM1COPY8_LINEITEM1COPY9,5,False,3,1738890524.0102563,0,0,0,2.384185791015625e-07,0
