Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,attempt_number,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime,ExperimentStatus
1,GZIP,testdb_testdb,ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3_ORDERS10COPY4_ORDERS10COPY5_ORDERS10COPY6_ORDERS10COPY7_ORDERS10COPY8_ORDERS10COPY9,5,False,1,1738794159.4160414,3971.179219007492,3853.6425270080563,0.0,2.9051461219787598,True
2,GZIP,testdb_testdb,ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3_ORDERS10COPY4_ORDERS10COPY5_ORDERS10COPY6_ORDERS10COPY7_ORDERS10COPY8_ORDERS10COPY9,5,False,1,1738794159.4160414,5536.871436357498,5450.186433553697,0.0,3.498163938522339,True
3,GZIP,testdb_testdb,ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3_ORDERS10COPY4_ORDERS10COPY5_ORDERS10COPY6_ORDERS10COPY7_ORDERS10COPY8_ORDERS10COPY9,5,False,1,1738794159.4160414,4285.529881000519,4224.910716557502,0.0,4.749465227127075,True
