Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,attempt_number,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime,ExperimentStatus
1,LZ4,testdb_testdb,dummy,5,False,1,1728724710.8718956,5234.364564180374,5174.280455589294,0,12.249066352844238,True
1,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1,1728724710.8718956,27185.37736439705,27140.60594701767,0,10.965754747390747,True
2,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1,1728724710.8718956,9237.539482355118,9182.992405891418,0,5.311673402786255,False
2,LZ4,testdb_testdb,ORDERSWIDE2,5,False,2,1728724710.8718956,2514.27884721756,0,0,7.152557373046875e-07,False
2,LZ4,testdb_testdb,ORDERSWIDE2,5,False,3,1728724710.8718956,16137.536944627762,0,0,2.384185791015625e-07,False
