Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,attempt_number,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime,ExperimentStatus
1,LZ4,testdb_testdb,dummy,5,False,1,1728232907.0234125,4225.408488035202,4187.231302976608,0,12.10131549835205,True
1,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1728232907.0234125,6658.20402097702,6614.089231967926,0,19.74583888053894,True
2,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1728232907.0234125,10598.29979801178,10539.955297708511,0,23.765124559402466,True
3,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1728232907.0234125,146.78933596611023,0,0,32.85263752937317,False
4,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1728232907.0234125,8886.702877044678,8799.406025648117,0,27.777393579483032,True
5,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1728232907.0234125,10016.270847082138,9924.048078536987,0,28.28553795814514,True
6,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1728232907.0234125,9782.00449681282,9702.18529677391,0,23.412011861801147,True
3,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,2,1728232907.0234125,9325.476024627686,9266.211862325668,0,4.575901746749878,True
1,LZ4,testdb_testdb,dummy,5,False,1,1728297946.182016,5926.975375890732,5863.146308660507,0,25.430485725402832,True
1,LZ4,testdb_testdb,GIGANTICORDERS,5,False,1,1728297946.182016,28789.044595241547,28711.608555078506,0,18.33303928375244,True
2,LZ4,testdb_testdb,GIGANTICORDERS,5,False,1,1728297946.182016,116.92616939544678,0,0,20.927707195281982,False
3,LZ4,testdb_testdb,GIGANTICORDERS,5,False,1,1728297946.182016,30599.5261759758,30522.03311252594,0,31.71152663230896,True
4,LZ4,testdb_testdb,GIGANTICORDERS,5,False,1,1728297946.182016,107.44765090942383,0,0,30.997952222824097,False
5,LZ4,testdb_testdb,GIGANTICORDERS,5,False,1,1728297946.182016,96.91453814506531,0,0,20.738646507263184,False
2,LZ4,testdb_testdb,GIGANTICORDERS,5,False,2,1728297946.182016,28421.135286092758,28353.73403930664,0,5.8174028396606445,True
4,LZ4,testdb_testdb,GIGANTICORDERS,5,False,2,1728297946.182016,18854.132588624954,18800.44488120079,0,7.0087995529174805,True
5,LZ4,testdb_testdb,GIGANTICORDERS,5,False,2,1728297946.182016,70.29404020309448,0,0,2.8411200046539307,False
5,LZ4,testdb_testdb,GIGANTICORDERS,5,False,3,1728297946.182016,105.47919273376465,0,0,5.070799112319946,False
