,Mean Absolute Error (MAE),Mean Squared Error (MSE),Root Mean Squared Error (RMSE),R² Score
Decision Tree,879.1466459955699,3385455.3281106744,1839.960686566611,0.7940300926253623
Random Forest,871.456867792295,3186668.1915799775,1785.1241389830504,0.8061242318563611
Gradient Boosting,917.9932359926229,3517650.433884626,1875.5400379316422,0.7859873890440876
XGBoost,879.1460018246262,3385456.7153895567,1839.9610635525842,0.7940300082238047
