Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime
1,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726169161.466018,5538.7892599105835,4765.699024915695,234.204389,7.300515413284302
2,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726169161.466018,4019.8256783485413,3805.7002589702606,259.016927,53.6705539226532
3,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726169161.466018,5036.446551561356,4222.400457143784,184.616808,62.06849384307861
4,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726169161.466018,4941.722621679306,4059.9023144245148,277.001166,120.44449710845947
5,NO,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726169161.466018,5308.884032249451,4550.101039409637,247.407962,6.561349153518677
1,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726203489.9955688,4449.286099433899,3703.9007954597473,289.613249,4.588817834854126
2,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726203489.9955688,5666.211860895157,4878.19997048378,245.69196599999998,41.705382347106934
3,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726203489.9955688,4073.8981442451477,3315.093995809555,284.016738,5.8391945362091064
4,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726203489.9955688,5038.388140439987,4293.599902629852,227.20544900000002,3.987905263900757
5,GZIP,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726203489.9955688,3970.0354223251343,3166.2988562583923,246.810068,46.20024919509888
1,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726247469.8240948,3959.0463511943817,3031.4000809192657,184.198949,191.82773733139038
2,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726247469.8240948,4251.160840272903,3268.497883796692,239.70362999999998,236.8050446510315
3,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726247469.8240948,5961.989169836044,5473.799115896225,228.69537599999998,334.9287459850311
4,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726247469.8240948,5150.957638502121,4401.501567602158,232.703128,4.992517948150635
5,LZ4,testdb_testdb,ORDERS2_ORDERS3_ORDERS4_ORDERS5_ORDERS6_ORDERS7_ORDERS8,5,False,1726247469.8240948,730.4165320396423,1822.5971021652222,214.000858,7.152557373046875e-07
