Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,attempt_number,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime,ExperimentStatus
1,NO,testdb_testdb,dummy,5,False,1,1733460111.039294,83.91749715805054,0,0,3.9899275302886963,False
1,NO,testdb_testdb,dummy,5,False,2,1733460111.039294,2585.9464235305786,2563.8609488010406,0,3.616407871246338,True
1,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1733460111.039294,4241.5511972904205,4202.515367984772,0,19.40449619293213,True
2,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1733460111.039294,77.14881873130798,0,0,23.171770095825195,False
3,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1733460111.039294,4088.963676929474,4056.3776655197144,0,12.879379272460938,True
2,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,2,1733460111.039294,4613.900415420532,4580.327485799789,0,5.327898740768433,True
1,NO,testdb_testdb,dummy,5,True,1,1733484202.4717844,2399.385209083557,2369.1042397022247,0,11.710835695266724,True
1,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1,1733484202.4717844,3673.29100894928,3644.815263271332,0,9.033586263656616,True
2,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1,1733484202.4717844,4214.7932908535,4180.3106100559235,0,14.321724891662598,True
3,NO,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1,1733484202.4717844,4222.524593830109,4180.126467227936,0,13.525174617767334,True
1,NO,testdb_testdb,dummy,5,False,1,1733503512.4699776,2665.8878479003906,2630.641700029373,0,14.279252767562866,True
1,NO,testdb_testdb,LINEITEM1,5,False,1,1733503512.4699776,1314.2017574310303,1286.8462810516357,0,8.12862515449524,True
2,NO,testdb_testdb,LINEITEM1,5,False,1,1733503512.4699776,1189.7265198230743,1164.5987820625305,0,8.106084108352661,True
3,NO,testdb_testdb,LINEITEM1,5,False,1,1733503512.4699776,1303.1625204086304,1278.5521416664124,0,7.8154871463775635,True
1,NO,testdb_testdb,dummy,5,True,1,1733514785.452477,2284.8759129047394,2253.862521648407,0,8.743345737457275,True
1,NO,testdb_testdb,LINEITEM1,5,True,1,1733514785.452477,1310.4454762935638,1285.941185951233,0,9.323551654815674,True
2,NO,testdb_testdb,LINEITEM1,5,True,1,1733514785.452477,1224.0111429691315,1198.4255599975586,0,10.136143445968628,True
3,NO,testdb_testdb,LINEITEM1,5,True,1,1733514785.452477,1291.166606426239,1267.404271364212,0,7.825105905532837,True
1,NO,testdb_testdb,dummy,5,False,1,1733525695.9552894,2289.4538428783417,2261.8886308670044,0,8.873554706573486,True
1,NO,testdb_testdb,ORDERS2_ORDERS10,5,False,1,1733525695.9552894,3406.7064242362976,3382.0916719436646,0,9.259191989898682,True
2,NO,testdb_testdb,ORDERS2_ORDERS10,5,False,1,1733525695.9552894,3123.39923286438,3092.116874933243,0,10.917283296585083,True
3,NO,testdb_testdb,ORDERS2_ORDERS10,5,False,1,1733525695.9552894,3059.5803792476654,3032.8329503536224,0,8.959669828414917,True
1,NO,testdb_testdb,dummy,5,True,1,1733542375.0981095,2370.9830367565155,2346.3905806541443,0,8.967684268951416,True
1,NO,testdb_testdb,ORDERS2_ORDERS10,5,True,1,1733542375.0981095,3353.51287150383,3326.8632600307465,0,9.052322149276733,True
2,NO,testdb_testdb,ORDERS2_ORDERS10,5,True,1,1733542375.0981095,3220.4704682826996,3188.911340236664,0,9.811110019683838,True
3,NO,testdb_testdb,ORDERS2_ORDERS10,5,True,1,1733542375.0981095,3301.651716709137,3271.478472471237,0,11.952226877212524,True
1,NO,testdb_testdb,dummy,5,False,1,1733559421.7195241,2408.8139414787292,2371.400900363922,0,12.026149988174438,True
1,NO,testdb_testdb,ORDERSWIDE2,5,False,1,1733559421.7195241,7893.375808477402,7863.387071847916,0,11.261986255645752,True
2,NO,testdb_testdb,ORDERSWIDE2,5,False,1,1733559421.7195241,7392.743531227112,7367.214013814926,0,7.916128635406494,True
3,NO,testdb_testdb,ORDERSWIDE2,5,False,1,1733559421.7195241,7240.4433035850525,7218.747704267502,0,7.4164879322052,True
1,NO,testdb_testdb,dummy,5,True,1,1733589157.0993018,2037.9533145427704,2011.1500358581543,0,10.300461053848267,True
1,NO,testdb_testdb,ORDERSWIDE2,5,True,1,1733589157.0993018,7387.067092657089,7364.185003757477,0,7.695646286010742,True
2,NO,testdb_testdb,ORDERSWIDE2,5,True,1,1733589157.0993018,7040.334095954895,7018.92959022522,0,9.430457592010498,True
3,NO,testdb_testdb,ORDERSWIDE2,5,True,1,1733589157.0993018,7381.604444980621,7347.790335893631,0,9.73576807975769,True
1,LZ4,testdb_testdb,dummy,5,False,1,1733617804.0614595,2283.093612909317,2249.7453048229218,0,11.641748189926147,True
1,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1733617804.0614595,3632.884464263916,3601.0712354183197,0,11.924046039581299,True
2,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1733617804.0614595,3781.2786462306976,3754.8005723953247,0,10.372303247451782,True
3,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1733617804.0614595,3736.131240606308,3712.280907392502,0,7.9312427043914795,True
1,LZ4,testdb_testdb,dummy,5,True,1,1733636037.4528098,2268.759470462799,2241.158107280731,0,9.832277536392212,True
1,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1,1733636037.4528098,3697.2604937553406,3672.592655658722,0,10.605954647064209,True
2,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1,1733636037.4528098,3646.5648000240326,3616.799528360367,0,12.529402732849121,True
3,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1,1733636037.4528098,3781.3415145874023,3752.646606683731,0,10.144256353378296,True
1,LZ4,testdb_testdb,dummy,5,False,1,1733654231.3819852,2242.505881547928,2216.3078393936157,0,9.661784410476685,True
1,LZ4,testdb_testdb,LINEITEM1,5,False,1,1733654231.3819852,1162.5496926307678,1136.4751048088074,0,9.935799360275269,True
2,LZ4,testdb_testdb,LINEITEM1,5,False,1,1733654231.3819852,1225.0185735225677,1202.943077802658,0,7.109959125518799,True
3,LZ4,testdb_testdb,LINEITEM1,5,False,1,1733654231.3819852,1241.3181869983673,1214.6519474983215,0,11.718647956848145,True
1,LZ4,testdb_testdb,dummy,5,True,1,1733664902.7784894,2454.556127548218,2425.0575103759766,0,10.080460548400879,True
1,LZ4,testdb_testdb,LINEITEM1,5,True,1,1733664902.7784894,1205.105630159378,1180.4870524406433,0,7.764624834060669,True
2,LZ4,testdb_testdb,LINEITEM1,5,True,1,1733664902.7784894,1285.2354989051819,1256.4367818832397,0,9.56040644645691,True
