Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,attempt_number,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime,ExperimentStatus
1,LZ4,testdb_testdb,dummy,5,False,1,1728463675.2710063,7015.197703838348,6943.060833454132,0,21.239274501800537,True
1,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1,1728463675.2710063,119.9999840259552,0,0,40.4529869556427,False
2,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1,1728463675.2710063,30080.67819070816,30023.28778719902,0,16.338382244110107,True
3,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1,1728463675.2710063,27597.208862781525,27507.48190498352,0,30.175676107406616,False
1,LZ4,testdb_testdb,ORDERSWIDE2,5,False,2,1728463675.2710063,104.10840344429016,0,0,8.368198156356812,False
3,LZ4,testdb_testdb,ORDERSWIDE2,5,False,2,1728463675.2710063,24279.449342012405,0,0,2.384185791015625e-07,False
1,LZ4,testdb_testdb,ORDERSWIDE2,5,False,3,1728463675.2710063,18474.852354049683,18424.489691257477,0,4.422559976577759,True
3,LZ4,testdb_testdb,ORDERSWIDE2,5,False,3,1728463675.2710063,1933.3918797969818,0,0,4.76837158203125e-07,False
