Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,attempt_number,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime,ExperimentStatus
1,LZ4,testdb_testdb,dummy,5,False,1,1729070311.523891,98.83049011230469,0,0,6.997488975524902,False
1,LZ4,testdb_testdb,dummy,5,False,2,1729070311.523891,70.19315361976624,0,0,0.7795164585113525,False
1,LZ4,testdb_testdb,dummy,5,False,3,1729070311.523891,7115.710494995117,7034.931545257568,0,1.6838641166687012,True
1,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1,1729070311.523891,17767.457775592804,17665.691685199738,0,16.453124284744263,True
2,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1,1729070311.523891,16253.05394744873,16209.20794558525,0,7.908430099487305,True
3,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1,1729070311.523891,18418.45050883293,18383.55201792717,0,7.267103433609009,True
