Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime
1,LZ4,testdb_testdb,GIGANTICORDERS,5,False,1719182777.0741775,4524.661913156509,4464.087741613388,88.24589599999999,1.221817970275879
2,LZ4,testdb_testdb,GIGANTICORDERS,5,False,1719182777.0741775,5685.323174953461,4631.805531263351,77.947346,993.0162315368652
3,LZ4,testdb_testdb,GIGANTICORDERS,5,False,1719182777.0741775,4631.836758136749,3629.231607437134,73.707964,952.0219948291779
4,LZ4,testdb_testdb,GIGANTICORDERS,5,False,1719182777.0741775,916.4828593730927,0,117.35655200000001,756.9418797492981
5,LZ4,testdb_testdb,GIGANTICORDERS,5,False,1719182777.0741775,3580.6063692569733,3512.5968663692474,183.328249,1.258424997329712
6,LZ4,testdb_testdb,GIGANTICORDERS,5,False,1719182777.0741775,3733.479109764099,3051.787271976471,62.050008000000005,575.2742478847504
7,LZ4,testdb_testdb,GIGANTICORDERS,5,False,1719182777.0741775,4479.744361877441,3524.7634761333466,91.28794099999999,901.9319078922272
1,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1719210399.21022,5379.870271682739,4458.187073707581,100.04137500000002,815.2131304740906
2,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1719210399.21022,5325.070649385452,4401.3275411129,97.875654,854.2644169330597
3,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1719210399.21022,5035.561720132828,3940.586270093918,142.503962,1032.4600064754486
4,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1719210399.21022,4202.883424520493,3390.2095556259155,110.326841,754.6644060611725
5,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1719210399.21022,4234.152383804321,3563.3790938854218,77.296652,634.5056054592133
6,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1719210399.21022,1578.6491878032684,0,101.790955,807.5716993808746
7,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1719210399.21022,165.39677739143372,0,227.10527599999998,0.6732668876647949
