Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,attempt_number,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime,ExperimentStatus
1,LZ4,testdb_testdb,dummy,5,False,1,1729674971.844077,1330.2363469600677,1303.5042498111725,0,5.091105699539185,False
1,LZ4,testdb_testdb,dummy,5,False,2,1729674971.844077,3435.538057088852,3117.8392736911774,0,288.23061656951904,True
1,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1729674971.844077,5925.895759105682,5880.783306360245,0,19.52236771583557,True
2,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1729674971.844077,5488.531632184982,5440.6854820251465,0,20.861878395080566,True
3,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1729674971.844077,5368.0714275836945,5329.653282165527,0,14.385533809661865,True
4,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1729674971.844077,5641.729052305222,5602.7301342487335,0,14.162946939468384,False
5,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1729674971.844077,6076.074987411499,6036.759304523468,0,16.538668870925903,True
6,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,1,1729674971.844077,10755.58524608612,10718.281317710876,0,17.60199546813965,False
4,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,2,1729674971.844077,16421.255320072174,5908.693942308426,0,10489.134655475616,True
6,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,False,2,1729674971.844077,5753.932914733887,5708.0621683597565,0,17.824790716171265,True
1,LZ4,testdb_testdb,dummy,5,False,1,1729754968.699928,2381.8430399894714,2354.7873463630676,0,9.67846417427063,True
1,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1,1729754968.699928,9933.96980881691,9903.636934280396,0,9.759675979614258,True
2,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1,1729754968.699928,10334.266111850739,10298.397998332977,0,17.80569100379944,True
3,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1,1729754968.699928,11584.363194465637,11546.651499271393,0,14.048919439315796,True
4,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1,1729754968.699928,9044.163653850555,9009.964055776596,0,11.327117919921875,True
5,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1,1729754968.699928,10631.177701950073,10582.184759140015,0,16.154893159866333,True
6,LZ4,testdb_testdb,ORDERSWIDE2,5,False,1,1729754968.699928,7529.822573423386,7494.603193759918,0,13.527931690216064,True
