Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,attempt_number,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime,ExperimentStatus
1,GZIP,testdb_testdb,ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3_ORDERS10COPY4_ORDERS10COPY5,5,False,1,1738682342.8438585,4322.106979608536,4221.114288965861,0.0,10.024878025054932,True
2,GZIP,testdb_testdb,ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3_ORDERS10COPY4_ORDERS10COPY5,5,False,1,1738682342.8438585,3465.394486427307,3417.1149440209074,0.0,6.3335583209991455,True
3,GZIP,testdb_testdb,ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3_ORDERS10COPY4_ORDERS10COPY5,5,False,1,1738682342.8438585,3815.8816435337067,3748.824511885643,0.0,9.617969036102295,True
4,GZIP,testdb_testdb,ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3_ORDERS10COPY4_ORDERS10COPY5,5,False,1,1738682342.8438585,3408.671138048172,3331.254297534624,0.0,8.941835165023804,True
5,GZIP,testdb_testdb,ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3_ORDERS10COPY4_ORDERS10COPY5,5,False,1,1738682342.8438585,4080.4146876335144,3982.290565570195,0.0,6.59601902961731,True
6,GZIP,testdb_testdb,ORDERS10_ORDERS10COPY_ORDERS10COPY2_ORDERS10COPY3_ORDERS10COPY4_ORDERS10COPY5,5,False,1,1738682342.8438585,3770.533214330673,3698.2998359600706,0.0,7.813175916671753,True
