Experiment Number,compress,sourceDatabasetoTargetDatabase,tables,maxStreams,binary,Experiment startTime,TotalExperimentTime,TotaltransferTime,totalPrecheckTime,TotalClearTime
1,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725288863.3252838,1977.1642916202545,1217.5969760417938,189.195553,3.663137912750244
2,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725288863.3252838,1320.132741689682,1018.2979197502136,183.773546,148.99290990829468
3,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725288863.3252838,1796.1816399097443,1061.6967759132385,211.696618,3.1012349128723145
4,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725288863.3252838,865.8750879764557,0,222.61403900000002,3.899925708770752
5,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725288863.3252838,1575.838364124298,785.2989246845245,210.627923,2.7730934619903564
6,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725288863.3252838,864.2499432563782,0,0,5.607714414596558
7,GZIP,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725288863.3252838,1726.9602806568146,944.8022692203522,227.00521599999996,3.209350824356079
1,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725299059.7294178,831.905912399292,0,193.802691,3.3971517086029053
2,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725299059.7294178,3239.8775703907013,2466.7030193805695,222.58623699999998,2.629189968109131
3,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725299059.7294178,1013.4500093460083,0,0,181.72493314743042
4,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725299059.7294178,3561.5433342456818,2818.400851249695,225.510742,3.0026943683624268
5,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725299059.7294178,4016.9200966358185,3006.602132797241,225.092996,269.66607999801636
6,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725299059.7294178,3742.4129848480225,0,0,144.49489068984985
7,GZIP,testdb_testdb,GIGANTICORDERS,5,True,1725299059.7294178,1153.424592256546,0,228.00789200000003,293.102979183197
1,GZIP,testdb_testdb,ORDERSWIDE2,5,True,1725316689.2655222,4023.002646923065,3258.4019327163696,213.998539,1.3287146091461182
2,GZIP,testdb_testdb,ORDERSWIDE2,5,True,1725316689.2655222,3522.6007981300354,2393.200291633606,218.302531,339.8698377609253
3,GZIP,testdb_testdb,ORDERSWIDE2,5,True,1725316689.2655222,961.1656415462494,0,214.19167099999999,56.70161032676697
4,GZIP,testdb_testdb,ORDERSWIDE2,5,True,1725316689.2655222,3229.272658109665,2432.602372407913,212.213374,20.302427053451538
5,GZIP,testdb_testdb,ORDERSWIDE2,5,True,1725316689.2655222,994.7854931354523,0,189.901857,149.82127380371094
6,GZIP,testdb_testdb,ORDERSWIDE2,5,True,1725316689.2655222,3295.7088265419006,2530.5987725257874,236.215555,2.140294313430786
7,GZIP,testdb_testdb,ORDERSWIDE2,5,True,1725316689.2655222,2952.3413887023926,2073.002152442932,79.006004,135.55340957641602
1,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725335738.1446283,2341.061569213867,1334.299962759018,225.68592700000005,254.81501650810242
2,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725335738.1446283,2065.5966737270355,1301.4995503425598,253.402421,4.266594409942627
3,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725335738.1446283,1703.0848278999329,941.3009886741638,297.082097,2.8942363262176514
4,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725335738.1446283,1449.3366153240204,0,0,73.3000078201294
5,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725335738.1446283,2785.1420574188232,1497.501135110855,181.290212,538.139564037323
6,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725335738.1446283,828.8278925418854,0,212.002456,3.3254990577697754
7,LZ4,testdb_testdb,LINEITEM1_ORDERS2_ORDERS10,5,True,1725335738.1446283,1779.9493551254272,994.594927072525,248.20394900000002,4.703361511230469
1,LZ4,testdb_testdb,GIGANTICORDERS,5,True,1725348761.1451902,853.1166093349457,0,209.401566,5.144551038742065
2,LZ4,testdb_testdb,GIGANTICORDERS,5,True,1725348761.1451902,2391.7763471603394,2233.002693414688,252.41828400000003,1.60172700881958
3,LZ4,testdb_testdb,GIGANTICORDERS,5,True,1725348761.1451902,535.8080456256866,0,228.691983,276.2780456542969
4,LZ4,testdb_testdb,GIGANTICORDERS,5,True,1725348761.1451902,2888.9464676380157,2143.702707052231,221.297773,2.1068215370178223
5,LZ4,testdb_testdb,GIGANTICORDERS,5,True,1725348761.1451902,561.1504907608032,0,218.20711799999998,287.6529178619385
6,LZ4,testdb_testdb,GIGANTICORDERS,5,True,1725348761.1451902,2806.110237598419,2017.4028720855713,228.09704399999998,1.3082866668701172
7,LZ4,testdb_testdb,GIGANTICORDERS,5,True,1725348761.1451902,881.0297548770905,0,260.804683,39.333696365356445
1,LZ4,testdb_testdb,ORDERSWIDE2,5,True,1725359749.084782,3516.9232864379883,2758.3045666217804,220.811281,1.9019980430603027
2,LZ4,testdb_testdb,ORDERSWIDE2,5,True,1725359749.084782,930.26109623909,0,227.499025,67.56320834159851
3,LZ4,testdb_testdb,ORDERSWIDE2,5,True,1725359749.084782,2962.6393926143646,0,0,6.303378582000732
4,LZ4,testdb_testdb,ORDERSWIDE2,5,True,1725359749.084782,970.7418396472931,0,238.417537,115.01973676681519
5,LZ4,testdb_testdb,ORDERSWIDE2,5,True,1725359749.084782,2889.725808620453,2131.302558660507,211.704345,2.010796308517456
6,LZ4,testdb_testdb,ORDERSWIDE2,5,True,1725359749.084782,893.6636171340942,0,257.095329,51.20207333564758
7,LZ4,testdb_testdb,ORDERSWIDE2,5,True,1725359749.084782,2881.5436012744904,2115.7007875442505,261.88762900000006,1.7116787433624268
